NUMBER,APPEARANCE,HOT NUMBERS,COOL NUMBERS,SIMPLE NUMBERS
1,127,,,s
2,141,h,,
3,133,,,s
4,119,,c,
5,118,,c,
6,126,,,s
7,125,,,s
8,141,h,,
9,118,,c,
10,133,,,s
11,145,h,,
12,143,h,,
13,124,,,s
14,120,,c,
15,124,,,s
16,123,,,s
17,132,,,s
18,120,,c,
19,123,,,s
20,127,,,s
21,149,h,,
22,120,,c,
23,122,,,s
24,124,,,s
25,137,,,s
26,140,h,,
27,122,,,s
28,129,,,s
29,133,,,s
30,135,,,s
31,122,,,s
32,120,,c,
33,126,,,s
34,126,,,s
35,146,h,,
36,126,,,s
37,124,,,s
